,Loop1,Loop2,Loop3,Loop4,Loop5,Loop6,Loop7,Loop8,Loop9,Loop10,Loop11,Loop12,Loop13,Loop14,Loop15,Loop16,Loop17,Loop18,Loop19,Loop20,Loop21,Loop22,Loop23,Loop24,Loop25,Loop26,Loop27,Loop28,Loop29,Loop30,Loop31,Loop32,Loop33,Loop34,Loop35,Loop36,Loop37,Loop38,Loop39,Loop40,Loop41,Loop42,Loop43,Loop44,Loop45,Loop46,Loop47,Loop48,Loop49,Loop50
AACOAR_syn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.57,0
ACCOAC,-0.06,-0.14,0.02,-0.02,-0.07,-0.12,0.04,0.04,0.1,-0.09,0.08,-0.1,0.04,0.05,0.01,-0.04,0.03,-0.02,0.07,0.05,0.1,-0.02,0.03,-0.03,0.02,-0.05,0.11,-0.02,-0.01,0.08,-0.12,0.18,-0.01,0.09,0.05,0.09,0.01,0.02,-0.01,-0.02,0.01,-0.09,-0.07,0.05,-0.09,0.1,0.05,0.05,0.01,-0.02
ADNK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADOCBIK,0.21,0.2,-0.02,-0.03,0.18,0.02,0.1,-0.18,0.01,-0.15,-0.08,-0.14,0.08,0.07,-0.02,-0.05,-0.06,-0.04,0.13,-0.04,0.01,0.02,-0.05,0.05,0.02,0.06,0.04,-0.07,0.09,-0.11,-0.02,-0.03,-0.08,-0.05,0.06,0.09,0.08,-0.03,-0.06,0.05,0.01,0,0.03,0.11,-0.02,0.02,-0.02,-0.07,0,-0.15
AGTi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAR,0.08,0.02,-0.01,0.03,-0.13,0.01,-0.05,0,-0.04,0.01,-0.04,-0.05,0.16,-0.05,0.07,0.03,0.01,0.09,0.07,0.05,0.03,0.13,-0.02,0.04,0,-0.11,-0.1,0.03,0.1,0.13,-0.06,-0.07,0.08,-0.1,0.09,-0.01,-0.05,0,-0.08,-0.05,-0.03,-0.04,0.03,-0.07,-0.07,0.05,-0.1,0.03,-0.01,0
ATGDm,0.21,0.14,-0.05,0.01,0.05,0.01,0.14,-0.1,0.02,-0.16,0.01,-0.03,0.07,0.02,-0.07,-0.09,-0.09,0.02,0.12,-0.01,0.22,-0.09,-0.03,-0.08,0.06,-0.02,0.08,0.03,0.03,-0.04,0.03,-0.04,-0.12,0.04,-0.15,0.2,0.07,-0.06,-0.14,0.08,-0.06,-0.08,0.08,0.17,-0.09,0.05,-0.17,0,0,-0.12
BCTA_glu_h,-0.03,0.03,-0.02,0.12,0.11,-0.07,0.06,0.19,-0.15,-0.04,0.03,0.17,0.01,-0.1,-0.14,-0.12,-0.01,0.13,0.06,-0.06,-0.09,0.02,-0.09,0.02,0.12,0.15,-0.12,0.05,-0.04,-0.01,-0.02,0.1,0.11,0.04,0.14,0.12,-0.06,0.14,0.09,0,0.01,0.02,-0.04,0.18,-0.01,0.09,-0.01,-0.08,0,-0.04
BCTA_val_h,0.04,0.2,-0.04,0.1,-0.02,-0.06,-0.07,0.07,0.01,0.07,0.1,-0.06,0.05,-0.07,0.3,0.02,0.04,0.03,-0.02,0.04,-0.06,0.08,0.11,-0.01,-0.04,-0.08,0.1,0.09,0.06,-0.03,-0.12,0.11,-0.09,-0.06,-0.03,0.01,0.06,-0.18,-0.03,-0.08,-0.02,-0.11,0.19,-0.19,0.08,0.1,-0.07,-0.09,0,0.01
CHOLD,-0.04,0.05,0.08,0.13,0.09,0,0.03,-0.03,-0.13,0.1,0.02,-0.1,-0.01,0.04,0,-0.05,-0.07,0.01,0.02,0.08,0.01,0.09,-0.13,-0.07,-0.15,0.01,-0.03,0.14,-0.13,0.16,-0.03,-0.01,0.04,0.04,0.05,0,0.08,-0.22,0.08,0.19,-0.33,0.03,-0.05,0.03,-0.09,-0.15,0.12,-0.04,0.04,0.02
COALDDH,0.06,0.02,-0.07,0.03,-0.08,-0.11,-0.01,0.11,-0.17,-0.03,-0.03,-0.06,0.15,0.13,-0.19,0.15,0.12,-0.03,-0.06,0,-0.1,0.07,0.13,-0.08,0.18,0.02,0.04,0.13,0.03,-0.19,0.08,0.03,-0.01,0.04,-0.1,-0.07,0.09,0,-0.12,0.02,0.01,0.15,-0.04,-0.15,-0.24,0.03,0.06,-0.03,0.04,-0.01
CTPS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAAD,-0.08,-0.02,0.01,-0.03,0.13,-0.01,0.05,0,0.04,-0.01,0.04,0.05,-0.16,0.05,-0.07,-0.03,-0.01,-0.09,-0.07,-0.05,-0.03,-0.13,0.02,-0.04,0,0.11,0.1,-0.03,-0.1,-0.13,0.06,0.07,-0.08,0.1,-0.09,0.01,0.05,0,0.08,0.05,0.03,0.04,-0.03,0.07,0.07,-0.05,0.1,-0.03,0.01,0
DMORh,-0.02,0.11,-0.01,-0.11,-0.13,-0.03,-0.06,0.12,0.11,0.12,-0.02,0.01,0.03,0.14,-0.04,-0.02,-0.11,-0.04,0.09,-0.04,0.03,-0.12,-0.02,0.06,0.05,0,0.12,0.04,0,0.13,0.02,-0.06,-0.02,-0.08,0.09,0.16,0.03,0.07,0.03,0.04,-0.04,0.2,0.02,-0.08,0.06,0.04,0.02,-0.19,0,0.06
ENO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FACOAE160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FACOAE180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGFTh,-0.11,-0.03,-0.07,0.03,0.08,-0.01,0,-0.05,-0.15,-0.08,-0.01,0.1,-0.06,0.08,-0.01,-0.14,0.06,-0.16,-0.05,0.07,0.04,0.02,-0.07,0.1,0.13,-0.17,0.03,0.11,0.08,0.08,-0.01,-0.14,-0.08,-0.02,0.01,0,0.14,0.09,0.06,0.02,0.04,-0.17,-0.07,-0.12,0.02,0.01,-0.02,-0.06,0,-0.03
FOMETRi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPGFTh,0.11,0.03,0.07,-0.03,-0.08,0.01,0,0.05,0.15,0.08,0.01,-0.1,0.06,-0.08,0.01,0.14,-0.06,0.16,0.05,-0.07,-0.04,-0.02,0.07,-0.1,-0.13,0.17,-0.03,-0.11,-0.08,-0.08,0.01,0.14,0.08,0.02,-0.01,0,-0.14,-0.09,-0.06,-0.02,-0.04,0.17,0.07,0.12,-0.02,-0.01,0.02,0.06,0,0.03
G3PD,0.15,-0.03,0.07,0.09,-0.06,0,-0.01,-0.07,-0.03,0.05,0.1,0.05,0.1,-0.2,-0.03,0.02,-0.14,0.01,0.02,0.17,0,-0.03,-0.07,0.04,0.11,0,0.15,-0.04,0.11,0.03,0.05,0.01,0.1,-0.15,0.09,-0.11,-0.04,-0.06,-0.07,0.04,-0.02,-0.04,-0.1,-0.09,0.02,0.1,-0.03,0.02,0.01,0.08
G3PD1,0.15,-0.03,0.07,0.09,-0.06,0,-0.01,-0.07,-0.03,0.05,0.1,0.05,0.1,-0.2,-0.03,0.02,-0.14,0.01,0.02,0.17,0,-0.03,-0.07,0.04,0.11,0,0.15,-0.04,0.11,0.03,0.05,0.01,0.1,-0.15,0.09,-0.11,-0.04,-0.06,-0.07,0.04,-0.02,-0.04,-0.1,-0.09,0.02,0.1,-0.03,0.02,0.01,0.08
G6PDH2r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G6PI,0.02,-0.02,-0.06,0,-0.04,-0.03,0.06,0.01,0.01,0,0.1,-0.03,-0.03,-0.03,0.02,0.02,0.06,-0.13,-0.05,-0.06,0.05,0.16,0.06,-0.08,0,0,0.03,-0.04,0.12,-0.06,0.19,-0.08,-0.09,-0.06,0.15,0.07,-0.02,-0.06,0.18,-0.15,-0.09,0.01,-0.03,0.16,-0.08,-0.01,-0.05,-0.03,0,0.21
G6PI3,0.02,-0.02,-0.06,0,-0.04,-0.03,0.06,0.01,0.01,0,0.1,-0.03,-0.03,-0.03,0.02,0.02,0.06,-0.13,-0.05,-0.06,0.05,0.16,0.06,-0.08,0,0,0.03,-0.04,0.12,-0.06,0.19,-0.08,-0.09,-0.06,0.15,0.07,-0.02,-0.06,0.18,-0.15,-0.09,0.01,-0.03,0.16,-0.08,-0.01,-0.05,-0.03,0,0.21
GAPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDH,-0.17,0.01,0.06,0.11,-0.15,0.04,0.08,-0.2,0.24,-0.05,-0.14,-0.05,-0.12,0,-0.12,0.12,0.02,-0.1,-0.02,0,0.15,-0.05,-0.06,0.02,-0.03,-0.13,0.06,-0.13,0.06,-0.03,0.04,-0.28,-0.04,0.06,-0.09,-0.07,-0.02,0.01,0.03,0.06,-0.01,0.23,-0.17,-0.02,-0.08,-0.02,0.15,0.24,0,-0.11
GK1,-0.05,0.11,0.12,-0.14,-0.02,-0.05,-0.09,-0.06,-0.09,-0.09,0.02,0.07,-0.03,0.16,0.04,-0.12,0.11,0.04,-0.02,0.22,0.02,-0.1,0.02,0.05,-0.08,0.09,-0.02,0.12,0.11,-0.1,0.02,-0.03,0.08,-0.02,0.02,0.06,-0.14,-0.13,0.02,-0.03,0,0.06,-0.03,0.04,0,0.1,0,0.12,0,0.04
GK2,0.05,-0.11,-0.12,0.14,0.02,0.05,0.09,0.06,0.09,0.09,-0.02,-0.07,0.03,-0.16,-0.04,0.12,-0.11,-0.04,0.02,-0.22,-0.02,0.1,-0.02,-0.05,0.08,-0.09,0.02,-0.12,-0.11,0.1,-0.02,0.03,-0.08,0.02,-0.02,-0.06,0.14,0.13,-0.02,0.03,0,-0.06,0.03,-0.04,0,-0.1,0,-0.12,0,-0.04
GLUFT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLYAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLYCDH_1,-0.12,0.12,-0.16,-0.27,0.06,0.05,-0.1,0.06,-0.04,-0.02,-0.09,0.14,0.03,-0.15,0.05,0,0.02,-0.08,0.05,-0.19,0.21,0.06,-0.05,-0.14,-0.03,-0.05,0.02,-0.06,0.14,-0.11,-0.08,0.08,0.11,0.04,0.06,-0.1,-0.02,0.03,-0.05,0.17,-0.13,-0.02,-0.01,-0.03,0.08,0.08,0.04,0.06,0.04,0.05
GLYCK,-0.08,-0.08,0.06,0.07,0.08,-0.01,0.03,0.12,0.03,0,0.03,-0.12,0.06,0.05,0.07,-0.01,-0.01,0,-0.13,-0.07,0.01,0.02,-0.18,-0.02,-0.01,-0.12,0.12,0.08,0.13,-0.12,0.02,0.02,0.2,-0.09,-0.05,0.13,-0.02,0.02,-0.1,0,0.06,0.07,-0.01,0.07,0.09,-0.19,-0.08,0.02,0,-0.02
GLYCK2,-0.08,-0.08,0.06,0.07,0.08,-0.01,0.03,0.12,0.03,0,0.03,-0.12,0.06,0.05,0.07,-0.01,-0.01,0,-0.13,-0.07,0.01,0.02,-0.18,-0.02,-0.01,-0.12,0.12,0.08,0.13,-0.12,0.02,0.02,0.2,-0.09,-0.05,0.13,-0.02,0.02,-0.1,0,0.06,0.07,-0.01,0.07,0.09,-0.19,-0.08,0.02,0,-0.02
GLYCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLYCLTDx,0.02,0.07,0.03,-0.09,0,-0.04,-0.08,-0.03,-0.01,-0.01,0.24,-0.07,-0.08,-0.04,0.08,-0.01,-0.02,0.04,0.01,-0.03,-0.06,-0.07,-0.18,0.02,-0.03,-0.02,-0.04,-0.04,0.12,0.03,-0.1,-0.05,-0.1,-0.05,-0.26,-0.15,-0.21,0.2,0.07,-0.11,-0.04,0.01,-0.04,0.07,-0.19,-0.04,0.02,-0.2,0.04,-0.06
GLYCLTDy,-0.02,-0.07,-0.03,0.09,0,0.04,0.08,0.03,0.01,0.01,-0.24,0.07,0.08,0.04,-0.08,0.01,0.02,-0.04,-0.01,0.03,0.06,0.07,0.18,-0.02,0.03,0.02,0.04,0.04,-0.12,-0.03,0.1,0.05,0.1,0.05,0.26,0.15,0.21,-0.2,-0.07,0.11,0.04,-0.01,0.04,-0.07,0.19,0.04,-0.02,0.2,-0.04,0.06
GLYCOR_nadp,-0.12,0.12,-0.16,-0.27,0.06,0.05,-0.1,0.06,-0.04,-0.02,-0.09,0.14,0.03,-0.15,0.05,0,0.02,-0.08,0.05,-0.19,0.21,0.06,-0.05,-0.14,-0.03,-0.05,0.02,-0.06,0.14,-0.11,-0.08,0.08,0.11,0.04,0.06,-0.1,-0.02,0.03,-0.05,0.17,-0.13,-0.02,-0.01,-0.03,0.08,0.08,0.04,0.06,0.04,0.05
HACD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.57,0
HCO3E,0.06,0.14,-0.02,0.02,0.07,0.12,-0.04,-0.04,-0.1,0.09,-0.08,0.1,-0.04,-0.05,-0.01,0.04,-0.03,0.02,-0.07,-0.05,-0.1,0.02,-0.03,0.03,-0.02,0.05,-0.11,0.02,0.01,-0.08,0.12,-0.18,0.01,-0.09,-0.05,-0.09,-0.01,-0.02,0.01,0.02,-0.01,0.09,0.07,-0.05,0.09,-0.1,-0.05,-0.05,-0.01,0.02
HSDH,0.09,0,-0.07,0.19,0.11,-0.06,-0.12,-0.04,0,-0.13,-0.05,0.11,-0.1,0.01,0.12,0.04,-0.07,-0.13,0.02,0.02,0,-0.04,0.12,-0.04,-0.13,-0.12,0.01,0.04,0,-0.03,0.02,0.04,0.02,0.15,0.11,0.06,-0.25,0.12,-0.22,0.08,-0.05,0.06,-0.09,-0.05,-0.13,-0.08,0.07,-0.15,-0.04,0.11
HSDx,-0.09,0,0.07,-0.19,-0.11,0.06,0.12,0.04,0,0.13,0.05,-0.11,0.1,-0.01,-0.12,-0.04,0.07,0.13,-0.02,-0.02,0,0.04,-0.12,0.04,0.13,0.12,-0.01,-0.04,0,0.03,-0.02,-0.04,-0.02,-0.15,-0.11,-0.06,0.25,-0.12,0.22,-0.08,0.05,-0.06,0.09,0.05,0.13,0.08,-0.07,0.15,0.04,-0.11
HXAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ht,-0.03,-0.01,0.01,-0.12,0.05,0.14,0.15,0.01,0,-0.01,-0.08,0.15,-0.14,0.04,-0.04,0.1,0.2,0.2,0.25,0.16,-0.1,0.08,0.13,0,0.01,-0.21,0.3,-0.05,0.16,0.08,-0.03,0.04,0.25,0.11,-0.07,-0.19,0.15,-0.08,0,-0.14,-0.08,0.06,0.02,0.22,-0.03,-0.05,0.06,-0.26,-0.03,-0.04
IMPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KARI_23dhmb,-0.02,0.11,-0.01,-0.11,-0.13,-0.03,-0.06,0.12,0.11,0.12,-0.02,0.01,0.03,0.14,-0.04,-0.02,-0.11,-0.04,0.09,-0.04,0.03,-0.12,-0.02,0.06,0.05,0,0.12,0.04,0,0.13,0.02,-0.06,-0.02,-0.08,0.09,0.16,0.03,0.07,0.03,0.04,-0.04,0.2,0.02,-0.08,0.06,0.04,0.02,-0.19,0,0.06
KARI_3hmoa,0.02,-0.11,0.01,0.11,0.13,0.03,0.06,-0.12,-0.11,-0.12,0.02,-0.01,-0.03,-0.14,0.04,0.02,0.11,0.04,-0.09,0.04,-0.03,0.12,0.02,-0.06,-0.05,0,-0.12,-0.04,0,-0.13,-0.02,0.06,0.02,0.08,-0.09,-0.16,-0.03,-0.07,-0.03,-0.04,0.04,-0.2,-0.02,0.08,-0.06,-0.04,-0.02,0.19,0,-0.06
LPLIPAL1A120pp,-0.14,-0.04,0.03,0.06,-0.05,-0.03,-0.06,-0.01,-0.08,-0.07,-0.04,-0.01,0.04,0.02,0.18,-0.05,-0.07,0.1,0.07,-0.07,0.06,0.09,0.11,0.05,0.09,0.2,0.12,-0.07,0.01,0.03,0.04,-0.1,0,-0.02,-0.07,-0.02,-0.01,-0.02,-0.01,0.11,0.07,-0.03,-0.02,0.04,-0.05,-0.07,0.03,-0.04,0,0.04
LPLIPAL1A140pp,-0.14,-0.05,0.03,0.04,-0.01,-0.11,-0.07,-0.13,-0.11,0.04,-0.17,-0.07,0.03,-0.06,-0.08,-0.02,-0.01,0.03,-0.05,0.05,-0.01,-0.15,0.05,-0.12,0.03,-0.07,-0.03,-0.14,0,-0.07,-0.09,0.01,0,-0.1,-0.01,0.07,0,-0.01,0.03,-0.05,-0.07,-0.01,0.06,0.03,-0.01,0.01,-0.05,-0.12,0,0.05
LPLIPAL1A160pp,-0.03,-0.02,0.06,-0.03,0,0.05,-0.03,-0.01,0,-0.06,-0.03,0.1,0.01,0.02,-0.06,-0.12,-0.24,-0.06,-0.01,-0.08,-0.02,0.12,-0.04,0.02,-0.01,-0.01,0.04,0.02,-0.06,-0.03,-0.15,0.01,0,0.05,-0.04,-0.03,0.03,-0.12,-0.05,-0.23,0.01,0.1,-0.03,-0.03,-0.06,0.02,-0.06,0.02,0,0.06
LPLIPAL1A180pp,0.06,0.03,0.18,-0.02,-0.04,-0.09,-0.11,0.01,0.03,-0.05,-0.02,0.07,-0.05,-0.1,-0.14,-0.06,0.08,0.07,0,-0.01,0.04,0.1,0.01,-0.12,-0.11,0.05,0.1,0.07,0.03,0.02,-0.01,-0.01,-0.12,-0.09,0.07,0.01,0.07,0.11,-0.07,-0.04,0.02,-0.04,0.04,-0.03,0.03,-0.14,0.07,0.02,0,-0.04
LPLIPAL2A120,0.14,0.04,-0.03,-0.06,0.05,0.03,0.06,0.01,0.08,0.07,0.04,0.01,-0.04,-0.02,-0.18,0.05,0.07,-0.1,-0.07,0.07,-0.06,-0.09,-0.11,-0.05,-0.09,-0.2,-0.12,0.07,-0.01,-0.03,-0.04,0.1,0,0.02,0.07,0.02,0.01,0.02,0.01,-0.11,-0.07,0.03,0.02,-0.04,0.05,0.07,-0.03,0.04,0,-0.04
LPLIPAL2A140,0.14,0.05,-0.03,-0.04,0.01,0.11,0.07,0.13,0.11,-0.04,0.17,0.07,-0.03,0.06,0.08,0.02,0.01,-0.03,0.05,-0.05,0.01,0.15,-0.05,0.12,-0.03,0.07,0.03,0.14,0,0.07,0.09,-0.01,0,0.1,0.01,-0.07,0,0.01,-0.03,0.05,0.07,0.01,-0.06,-0.03,0.01,-0.01,0.05,0.12,0,-0.05
LPLIPAL2A160,0.03,0.02,-0.06,0.03,0,-0.05,0.03,0.01,0,0.06,0.03,-0.1,-0.01,-0.02,0.06,0.12,0.24,0.06,0.01,0.08,0.02,-0.12,0.04,-0.02,0.01,0.01,-0.04,-0.02,0.06,0.03,0.15,-0.01,0,-0.05,0.04,0.03,-0.03,0.12,0.05,0.23,-0.01,-0.1,0.03,0.03,0.06,-0.02,0.06,-0.02,0,-0.06
LPLIPAL2A180,-0.06,-0.03,-0.18,0.02,0.04,0.09,0.11,-0.01,-0.03,0.05,0.02,-0.07,0.05,0.1,0.14,0.06,-0.08,-0.07,0,0.01,-0.04,-0.1,-0.01,0.12,0.11,-0.05,-0.1,-0.07,-0.03,-0.02,0.01,0.01,0.12,0.09,-0.07,-0.01,-0.07,-0.11,0.07,0.04,-0.02,0.04,-0.04,0.03,-0.03,0.14,-0.07,-0.02,0,0.04
LPLIPAL2E160,-0.01,0.07,-0.02,0.07,0,0.09,-0.1,-0.03,-0.03,-0.07,-0.03,-0.1,-0.04,0.04,-0.03,0.07,0.08,-0.02,-0.04,-0.09,0.04,-0.03,-0.07,-0.02,-0.07,0.06,0.17,0.06,-0.21,0.03,0.03,-0.04,0.13,-0.07,0.04,-0.07,-0.03,0.06,0.01,-0.07,-0.01,-0.09,0.01,0.04,-0.05,0.16,-0.06,-0.02,0,0.01
MMSAD3,-0.1,-0.07,0.06,-0.08,0.07,-0.05,0.03,0.06,0.17,-0.17,0.06,-0.07,-0.01,-0.06,-0.02,0.08,-0.03,-0.01,-0.03,0.09,0.14,0.03,0.12,0.01,0.06,-0.03,-0.02,0.02,-0.04,0.11,-0.04,0.11,0.07,-0.04,0.01,0.14,0,-0.04,-0.02,-0.04,0.04,-0.09,-0.05,0.01,-0.1,0.08,0.1,-0.05,0.02,-0.04
MNXR14578,0.04,-0.08,-0.04,0.06,-0.14,-0.07,0.01,-0.02,-0.07,0.08,0.02,-0.03,0.05,0.11,0.03,-0.12,0.06,-0.01,0.1,-0.04,-0.04,-0.04,-0.09,-0.04,-0.05,-0.02,0.13,-0.04,0.03,-0.03,-0.08,0.08,-0.08,0.13,0.04,-0.05,0.01,0.06,0.01,0.02,-0.03,-0.01,-0.03,0.04,0.01,0.02,-0.05,0.1,-0.01,0.02
MNXR15262,0.08,0.1,0.03,0.04,-0.07,0.14,0.04,-0.01,-0.1,0.01,0.06,0.24,-0.06,0.03,0.01,0.02,0.09,0.02,-0.03,-0.01,0.07,0.03,0.02,-0.12,0.11,-0.14,-0.02,-0.04,-0.17,0.04,-0.01,0,-0.05,-0.16,-0.12,0.02,-0.09,-0.07,0,0.13,0.06,0.13,0.05,0.05,0,-0.1,-0.16,0.01,0,0.02
MNXR15642,-0.02,-0.14,-0.05,0.12,-0.08,-0.05,-0.18,-0.09,0.01,-0.09,0.01,0.05,-0.07,0.04,-0.12,-0.05,0.05,-0.05,-0.01,0,0.02,0.15,-0.09,0.24,-0.07,-0.03,-0.03,-0.14,0.06,0.06,0.22,0.15,-0.01,0.04,-0.04,0,-0.04,-0.08,-0.1,0.03,-0.03,0.09,0.28,0.05,0.12,0.08,-0.01,-0.09,0.04,-0.08
MNXR160,-0.08,-0.1,-0.03,-0.04,0.07,-0.14,-0.04,0.01,0.1,-0.01,-0.06,-0.24,0.06,-0.03,-0.01,-0.02,-0.09,-0.02,0.03,0.01,-0.07,-0.03,-0.02,0.12,-0.11,0.14,0.02,0.04,0.17,-0.04,0.01,0,0.05,0.16,0.12,-0.02,0.09,0.07,0,-0.13,-0.06,-0.13,-0.05,-0.05,0,0.1,0.16,-0.01,0,-0.02
MNXR17296,0.2,0.06,0,0.15,0.08,-0.02,-0.04,0.17,-0.05,0.14,-0.12,-0.09,-0.1,0.08,-0.09,-0.16,-0.04,-0.03,0.09,-0.05,0.18,-0.06,0.28,0.13,0,-0.1,0,-0.04,0.03,-0.01,-0.02,0,0.11,-0.07,-0.09,-0.06,-0.12,0.02,0.11,-0.13,0.02,-0.08,-0.04,0.01,0.08,-0.09,0.06,0.11,0.04,0
MNXR17297,-0.2,-0.06,0,-0.15,-0.08,0.02,0.04,-0.17,0.05,-0.14,0.12,0.09,0.1,-0.08,0.09,0.16,0.04,0.03,-0.09,0.05,-0.18,0.06,-0.28,-0.13,0,0.1,0,0.04,-0.03,0.01,0.02,0,-0.11,0.07,0.09,0.06,0.12,-0.02,-0.11,0.13,-0.02,0.08,0.04,-0.01,-0.08,0.09,-0.06,-0.11,-0.04,0
