,Loop1,Loop2,Loop3,Loop4,Loop5,Loop6,Loop7,Loop8,Loop9,Loop10,Loop11,Loop12,Loop13,Loop14,Loop15,Loop16,Loop17,Loop18,Loop19,Loop20,Loop21,Loop22,Loop23,Loop24,Loop25,Loop26,Loop27,Loop28,Loop29,Loop30,Loop31,Loop32,Loop33,Loop34,Loop35,Loop36,Loop37,Loop38,Loop39,Loop40,Loop41,Loop42,Loop43,Loop44,Loop45,Loop46,Loop47,Loop48,Loop49,Loop50
MNXR94221,0,0,0.18,-0.01,-0.02,0.13,0.08,0.01,-0.11,0.09,-0.12,-0.08,-0.14,0.01,0.07,0.06,0.02,0.03,0.02,-0.02,0.09,0.05,-0.11,0.03,0.12,0,-0.04,0.03,0.03,-0.03,0.04,0.1,-0.12,0.04,-0.02,0.06,-0.04,0.05,-0.11,-0.06,-0.01,-0.01,-0.01,-0.02,0.03,0.1,0.09,-0.02,0,0.1
MNXR94222,0.01,-0.09,0.02,-0.03,-0.04,-0.12,0.13,-0.07,0.02,0.1,-0.06,0.05,-0.03,-0.02,0.02,-0.04,0.01,-0.11,0.13,-0.08,-0.01,0.03,-0.06,-0.13,0.01,0.03,0,0.1,-0.02,-0.02,0.06,-0.05,0.1,-0.03,-0.01,0,-0.16,-0.11,0.04,-0.02,0.1,-0.07,0.09,-0.09,-0.03,0.03,0.06,-0.08,0,-0.13
MNXR94224,-0.03,0.15,0.14,-0.01,-0.06,-0.03,0.07,-0.08,0,0.12,0,0.07,0,0,0.06,-0.03,0.03,-0.14,-0.12,-0.07,0,-0.04,0.07,0.05,0.01,0.07,-0.02,-0.08,0.05,0.09,0.06,0.11,0.13,0.06,0.03,0.01,0.08,0.08,-0.06,-0.03,-0.05,-0.04,-0.01,0,-0.12,-0.06,-0.11,0.01,0,-0.09
MNXR94225,0.03,-0.05,-0.04,-0.05,0.01,-0.15,0.18,-0.01,-0.04,0.01,-0.1,-0.02,-0.05,-0.1,-0.02,0.02,0.05,-0.03,-0.08,-0.05,-0.02,0.03,0.06,0.16,-0.13,0.05,0.05,0.1,0.02,0.08,-0.12,-0.01,-0.04,-0.09,-0.09,-0.03,-0.02,0.01,-0.06,0.09,0,0.08,-0.05,0.07,0.03,0.08,-0.08,-0.01,0,0.1
MNXR94226,0.03,0.03,0.02,-0.02,-0.11,0,0.11,-0.08,-0.11,-0.19,0.14,-0.11,-0.04,-0.08,-0.02,-0.03,0.02,-0.06,0.03,-0.07,-0.04,-0.05,0.06,0,0.08,0,-0.01,0.02,-0.03,0.03,-0.07,-0.06,0.12,0.07,0.01,0.02,-0.01,0.05,0,-0.04,-0.07,0.06,0.14,-0.07,0.13,-0.08,0.09,0.04,0,0.09
MNXR94227,0.08,0,0.09,-0.11,0.04,-0.13,-0.04,0.2,-0.01,-0.04,-0.07,-0.04,-0.07,-0.02,0.05,-0.02,0.02,-0.05,-0.06,0.02,-0.14,0.02,-0.04,-0.02,0.1,-0.06,0.05,-0.16,-0.09,0.05,0.03,-0.16,-0.02,0.07,0.02,-0.01,-0.05,-0.06,-0.07,0.03,-0.08,-0.03,0.02,0.04,0.01,0.05,-0.03,0.06,0,-0.05
MNXR94245,0.07,-0.03,-0.14,0,-0.02,-0.01,-0.03,-0.02,0.07,0.01,-0.11,0.06,0.06,-0.06,0.08,0.01,0.13,-0.03,-0.08,0.07,0.08,-0.04,-0.09,0.08,0.17,0.13,0.04,0.06,-0.07,0,-0.07,0.03,-0.03,0,0.01,0,-0.05,-0.04,-0.02,-0.14,-0.12,0.03,-0.01,0.05,0.03,-0.15,0.07,-0.01,0,-0.05
MNXR94247,0,-0.04,0.02,0.03,-0.07,0.02,-0.07,-0.06,0.12,0.08,0.1,0.04,-0.06,0.04,0,-0.08,0.05,0.03,0,-0.16,-0.08,-0.03,0.06,0.05,0.08,-0.05,-0.1,0.07,-0.01,-0.1,-0.07,-0.07,0.03,-0.09,0.04,0,0.07,-0.08,-0.17,0.05,-0.08,-0.09,-0.05,0.13,-0.01,0.06,0.1,-0.02,0,0.02
MNXR94248,0.03,-0.03,0.03,-0.01,-0.02,-0.03,-0.11,-0.01,0.08,0.01,0,-0.07,-0.21,-0.04,-0.06,0.08,0.03,-0.01,0.11,0.03,0.03,0.04,-0.04,0.07,0.09,0.07,-0.04,0.04,0.02,-0.11,-0.12,0,0.06,0.08,0.04,0.02,0.04,-0.04,0.08,0.09,0.01,-0.02,0.01,-0.06,-0.05,-0.08,-0.23,-0.02,0,0.04
MNXR94249,0,0,-0.18,0.01,0.02,-0.13,-0.08,-0.01,0.11,-0.09,0.12,0.08,0.14,-0.01,-0.07,-0.06,-0.02,-0.03,-0.02,0.02,-0.09,-0.05,0.11,-0.03,-0.12,0,0.04,-0.03,-0.03,0.03,-0.04,-0.1,0.12,-0.04,0.02,-0.06,0.04,-0.05,0.11,0.06,0.01,0.01,0.01,0.02,-0.03,-0.1,-0.09,0.02,0,-0.1
MNXR94250,0.01,-0.09,0.02,-0.03,-0.04,-0.12,0.13,-0.07,0.02,0.1,-0.06,0.05,-0.03,-0.02,0.02,-0.04,0.01,-0.11,0.13,-0.08,-0.01,0.03,-0.06,-0.13,0.01,0.03,0,0.1,-0.02,-0.02,0.06,-0.05,0.1,-0.03,-0.01,0,-0.16,-0.11,0.04,-0.02,0.1,-0.07,0.09,-0.09,-0.03,0.03,0.06,-0.08,0,-0.13
MNXR94252,-0.03,0.15,0.14,-0.01,-0.06,-0.03,0.07,-0.08,0,0.12,0,0.07,0,0,0.06,-0.03,0.03,-0.14,-0.12,-0.07,0,-0.04,0.07,0.05,0.01,0.07,-0.02,-0.08,0.05,0.09,0.06,0.11,0.13,0.06,0.03,0.01,0.08,0.08,-0.06,-0.03,-0.05,-0.04,-0.01,0,-0.12,-0.06,-0.11,0.01,0,-0.09
MNXR94253,-0.03,0.05,0.04,0.05,-0.01,0.15,-0.18,0.01,0.04,-0.01,0.1,0.02,0.05,0.1,0.02,-0.02,-0.05,0.03,0.08,0.05,0.02,-0.03,-0.06,-0.16,0.13,-0.05,-0.05,-0.1,-0.02,-0.08,0.12,0.01,0.04,0.09,0.09,0.03,0.02,-0.01,0.06,-0.09,0,-0.08,0.05,-0.07,-0.03,-0.08,0.08,0.01,0,-0.1
MNXR94254,-0.03,-0.03,-0.02,0.02,0.11,0,-0.11,0.08,0.11,0.19,-0.14,0.11,0.04,0.08,0.02,0.03,-0.02,0.06,-0.03,0.07,0.04,0.05,-0.06,0,-0.08,0,0.01,-0.02,0.03,-0.03,0.07,0.06,-0.12,-0.07,-0.01,-0.02,0.01,-0.05,0,0.04,0.07,-0.06,-0.14,0.07,-0.13,0.08,-0.09,-0.04,0,-0.09
MNXR94255,-0.08,0,-0.09,0.11,-0.04,0.13,0.04,-0.2,0.01,0.04,0.07,0.04,0.07,0.02,-0.05,0.02,-0.02,0.05,0.06,-0.02,0.14,-0.02,0.04,0.02,-0.1,0.06,-0.05,0.16,0.09,-0.05,-0.03,0.16,0.02,-0.07,-0.02,0.01,0.05,0.06,0.07,-0.03,0.08,0.03,-0.02,-0.04,-0.01,-0.05,0.03,-0.06,0,0.05
MNXR94256,-0.07,0.03,0.14,0,0.02,0.01,0.03,0.02,-0.07,-0.01,0.11,-0.06,-0.06,0.06,-0.08,-0.01,-0.13,0.03,0.08,-0.07,-0.08,0.04,0.09,-0.08,-0.17,-0.13,-0.04,-0.06,0.07,0,0.07,-0.03,0.03,0,-0.01,0,0.05,0.04,0.02,0.14,0.12,-0.03,0.01,-0.05,-0.03,0.15,-0.07,0.01,0,0.05
MNXR94258,0.01,-0.07,0.02,-0.07,0,-0.09,0.1,0.03,0.03,0.07,0.03,0.1,0.04,-0.04,0.03,-0.07,-0.08,0.02,0.04,0.09,-0.04,0.03,0.07,0.02,0.07,-0.06,-0.17,-0.06,0.21,-0.03,-0.03,0.04,-0.13,0.07,-0.04,0.07,0.03,-0.06,-0.01,0.07,0.01,0.09,-0.01,-0.04,0.05,-0.16,0.06,0.02,0,-0.01
MNXR94259,0,0.04,-0.02,-0.03,0.07,-0.02,0.07,0.06,-0.12,-0.08,-0.1,-0.04,0.06,-0.04,0,0.08,-0.05,-0.03,0,0.16,0.08,0.03,-0.06,-0.05,-0.08,0.05,0.1,-0.07,0.01,0.1,0.07,0.07,-0.03,0.09,-0.04,0,-0.07,0.08,0.17,-0.05,0.08,0.09,0.05,-0.13,0.01,-0.06,-0.1,0.02,0,-0.02
MNXR94260,0,0,0.18,-0.01,-0.02,0.13,0.08,0.01,-0.11,0.09,-0.12,-0.08,-0.14,0.01,0.07,0.06,0.02,0.03,0.02,-0.02,0.09,0.05,-0.11,0.03,0.12,0,-0.04,0.03,0.03,-0.03,0.04,0.1,-0.12,0.04,-0.02,0.06,-0.04,0.05,-0.11,-0.06,-0.01,-0.01,-0.01,-0.02,0.03,0.1,0.09,-0.02,0,0.1
MNXR94261,-0.01,0.09,-0.02,0.03,0.04,0.12,-0.13,0.07,-0.02,-0.1,0.06,-0.05,0.03,0.02,-0.02,0.04,-0.01,0.11,-0.13,0.08,0.01,-0.03,0.06,0.13,-0.01,-0.03,0,-0.1,0.02,0.02,-0.06,0.05,-0.1,0.03,0.01,0,0.16,0.11,-0.04,0.02,-0.1,0.07,-0.09,0.09,0.03,-0.03,-0.06,0.08,0,0.13
MNXR94263,0.03,-0.15,-0.14,0.01,0.06,0.03,-0.07,0.08,0,-0.12,0,-0.07,0,0,-0.06,0.03,-0.03,0.14,0.12,0.07,0,0.04,-0.07,-0.05,-0.01,-0.07,0.02,0.08,-0.05,-0.09,-0.06,-0.11,-0.13,-0.06,-0.03,-0.01,-0.08,-0.08,0.06,0.03,0.05,0.04,0.01,0,0.12,0.06,0.11,-0.01,0,0.09
MNXR94264,0.03,-0.05,-0.04,-0.05,0.01,-0.15,0.18,-0.01,-0.04,0.01,-0.1,-0.02,-0.05,-0.1,-0.02,0.02,0.05,-0.03,-0.08,-0.05,-0.02,0.03,0.06,0.16,-0.13,0.05,0.05,0.1,0.02,0.08,-0.12,-0.01,-0.04,-0.09,-0.09,-0.03,-0.02,0.01,-0.06,0.09,0,0.08,-0.05,0.07,0.03,0.08,-0.08,-0.01,0,0.1
MNXR94265,0.03,0.03,0.02,-0.02,-0.11,0,0.11,-0.08,-0.11,-0.19,0.14,-0.11,-0.04,-0.08,-0.02,-0.03,0.02,-0.06,0.03,-0.07,-0.04,-0.05,0.06,0,0.08,0,-0.01,0.02,-0.03,0.03,-0.07,-0.06,0.12,0.07,0.01,0.02,-0.01,0.05,0,-0.04,-0.07,0.06,0.14,-0.07,0.13,-0.08,0.09,0.04,0,0.09
MNXR94325,-0.05,0.02,-0.05,0.05,-0.05,0.01,0.03,0.04,-0.04,-0.09,-0.03,0.02,-0.12,0.17,-0.07,0.18,-0.14,0.01,-0.09,-0.07,-0.05,-0.08,0.03,-0.12,0.06,0.08,0,0.06,0.21,0.16,-0.07,0.06,-0.08,-0.04,0.09,-0.11,-0.1,-0.1,-0.02,-0.01,-0.03,-0.09,0.02,0.06,0.09,-0.03,-0.04,0.04,0,-0.1
MTHFC,0.11,0.03,0.07,-0.03,-0.08,0.01,0,0.05,0.15,0.08,0.01,-0.1,0.06,-0.08,0.01,0.14,-0.06,0.16,0.05,-0.07,-0.04,-0.02,0.07,-0.1,-0.13,0.17,-0.03,-0.11,-0.08,-0.08,0.01,0.14,0.08,0.02,-0.01,0,-0.14,-0.09,-0.06,-0.02,-0.04,0.17,0.07,0.12,-0.02,-0.01,0.02,0.06,0,0.03
MTHFO,-0.16,0.07,0.04,-0.06,-0.06,0,0.16,0,-0.02,0.06,0.04,-0.03,0.07,-0.04,-0.02,0.01,-0.07,0.09,-0.04,0.07,0.09,-0.05,0.08,0.14,-0.02,-0.13,0.04,0.09,-0.15,-0.16,0.03,-0.1,-0.13,0.14,0.3,-0.17,-0.13,0.01,-0.11,-0.01,0.1,-0.04,0.08,0.08,0.02,-0.12,-0.12,-0.11,0.04,-0.06
MTHFO_nadp,0.16,-0.07,-0.04,0.06,0.06,0,-0.16,0,0.02,-0.06,-0.04,0.03,-0.07,0.04,0.02,-0.01,0.07,-0.09,0.04,-0.07,-0.09,0.05,-0.08,-0.14,0.02,0.13,-0.04,-0.09,0.15,0.16,-0.03,0.1,0.13,-0.14,-0.3,0.17,0.13,-0.01,0.11,0.01,-0.1,0.04,-0.08,-0.08,-0.02,0.12,0.12,0.11,-0.04,0.06
MTI,0.02,-0.08,0.2,0.06,0.23,-0.06,0.03,-0.04,0.05,0,0.08,0.13,0.2,0.11,-0.05,0.14,0.14,0.08,0.02,-0.18,0.1,-0.07,-0.01,0.07,0.02,0.02,0.02,-0.06,0.05,0.03,-0.07,-0.09,-0.04,0.08,0.01,-0.01,-0.08,-0.05,0.05,-0.03,-0.1,-0.02,0.05,-0.13,0.03,0.03,-0.05,-0.02,0,0.09
NADK,0.05,-0.02,0.05,-0.05,0.05,-0.01,-0.03,-0.04,0.04,0.09,0.03,-0.02,0.12,-0.17,0.07,-0.18,0.14,-0.01,0.09,0.07,0.05,0.08,-0.03,0.12,-0.06,-0.08,0,-0.06,-0.21,-0.16,0.07,-0.06,0.08,0.04,-0.09,0.11,0.1,0.1,0.02,0.01,0.03,0.09,-0.02,-0.06,-0.09,0.03,0.04,-0.04,0,0.1
NADTRHD,0.11,-0.01,-0.16,-0.01,-0.11,0.05,0.04,-0.14,-0.09,0,0.02,0.06,-0.11,0.01,0.03,0.07,0.11,0.21,-0.04,-0.07,-0.13,0.03,0.02,-0.1,-0.17,0.08,0.03,-0.17,-0.02,0.05,0,-0.14,0.04,0.17,0.02,0.37,-0.01,-0.09,-0.12,-0.15,0.08,-0.07,-0.47,-0.19,0.26,-0.02,-0.13,-0.16,0.07,-0.08
NDPK4,0.05,-0.02,0.05,-0.05,0.05,-0.01,-0.03,-0.04,0.04,0.09,0.03,-0.02,0.12,-0.17,0.07,-0.18,0.14,-0.01,0.09,0.07,0.05,0.08,-0.03,0.12,-0.06,-0.08,0,-0.06,-0.21,-0.16,0.07,-0.06,0.08,0.04,-0.09,0.11,0.1,0.1,0.02,0.01,0.03,0.09,-0.02,-0.06,-0.09,0.03,0.04,-0.04,0,0.1
NDPK8,-0.05,0.11,0.12,-0.14,-0.02,-0.05,-0.09,-0.06,-0.09,-0.09,0.02,0.07,-0.03,0.16,0.04,-0.12,0.11,0.04,-0.02,0.22,0.02,-0.1,0.02,0.05,-0.08,0.09,-0.02,0.12,0.11,-0.1,0.02,-0.03,0.08,-0.02,0.02,0.06,-0.14,-0.13,0.02,-0.03,0,0.06,-0.03,0.04,0,0.1,0,0.12,0,0.04
NDPK9,-0.04,0.08,0.04,-0.06,0.14,0.07,-0.01,0.02,0.07,-0.08,-0.02,0.03,-0.05,-0.11,-0.03,0.12,-0.06,0.01,-0.1,0.04,0.04,0.04,0.09,0.04,0.05,0.02,-0.13,0.04,-0.03,0.03,0.08,-0.08,0.08,-0.13,-0.04,0.05,-0.01,-0.06,-0.01,-0.02,0.03,0.01,0.03,-0.04,-0.01,-0.02,0.05,-0.1,0.01,-0.02
NFORGLUAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P5CR,0.11,-0.17,-0.01,0.12,0.06,0.16,0.11,0.08,-0.03,0.07,0.08,0.18,-0.13,-0.05,0.04,0.03,-0.06,-0.1,-0.08,0.16,0.02,-0.2,-0.07,-0.03,-0.07,0.19,0.14,-0.14,0.1,-0.08,-0.13,-0.14,0.05,-0.07,0.12,0.04,0.13,0.02,-0.08,0.03,0.11,0.03,0.2,0,-0.15,0.06,0.12,0.02,0.04,0.09
P5CRx,0.04,-0.12,-0.09,0.06,-0.02,0.16,0.07,0.16,-0.04,0.03,-0.06,0.08,-0.07,0.1,0.14,0.03,0.09,-0.01,-0.03,0.04,0.04,-0.04,-0.02,-0.03,-0.18,0.09,-0.11,-0.07,0.09,0.02,-0.24,-0.22,0.03,-0.01,0.12,0.14,0.12,0.07,-0.08,-0.06,0.1,0.03,0.33,0.01,-0.24,0.02,0.05,0.04,0.03,0.01
PFK_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGI,-0.02,0.02,0.06,0,0.04,0.03,-0.06,-0.01,-0.01,0,-0.1,0.03,0.03,0.03,-0.02,-0.02,-0.06,0.13,0.05,0.06,-0.05,-0.16,-0.06,0.08,0,0,-0.03,0.04,-0.12,0.06,-0.19,0.08,0.09,0.06,-0.15,-0.07,0.02,0.06,-0.18,0.15,0.09,-0.01,0.03,-0.16,0.08,0.01,0.05,0.03,0,-0.21
PGM,0.08,0.08,-0.06,-0.07,-0.08,0.01,-0.03,-0.12,-0.03,0,-0.03,0.12,-0.06,-0.05,-0.07,0.01,0.01,0,0.13,0.07,-0.01,-0.02,0.18,0.02,0.01,0.12,-0.12,-0.08,-0.13,0.12,-0.02,-0.02,-0.2,0.09,0.05,-0.13,0.02,-0.02,0.1,0,-0.06,-0.07,0.01,-0.07,-0.09,0.19,0.08,-0.02,0,0.02
PIabc,-0.02,0,-0.08,0.02,0.01,-0.03,-0.04,0.05,0.01,0.07,-0.04,-0.03,0.01,-0.13,-0.07,-0.02,-0.14,0.07,-0.05,-0.01,0.03,-0.12,-0.02,0.02,-0.08,0.11,-0.06,0.15,0.11,-0.04,0.19,-0.19,0.01,0.17,-0.14,0.01,0.07,0.02,-0.07,-0.08,-0.14,-0.11,0.07,-0.04,0.02,0.03,-0.04,0,-0.01,0.03
PIt2r,-0.02,0,-0.08,0.02,0.01,-0.03,-0.04,0.05,0.01,0.07,-0.04,-0.03,0.01,-0.13,-0.07,-0.02,-0.14,0.07,-0.05,-0.01,0.03,-0.12,-0.02,0.02,-0.08,0.11,-0.06,0.15,0.11,-0.04,0.19,-0.19,0.01,0.17,-0.14,0.01,0.07,0.02,-0.07,-0.08,-0.14,-0.11,0.07,-0.04,0.02,0.03,-0.04,0,-0.01,0.03
PLIPA1A120pp,0.14,0.04,-0.03,-0.06,0.05,0.03,0.06,0.01,0.08,0.07,0.04,0.01,-0.04,-0.02,-0.18,0.05,0.07,-0.1,-0.07,0.07,-0.06,-0.09,-0.11,-0.05,-0.09,-0.2,-0.12,0.07,-0.01,-0.03,-0.04,0.1,0,0.02,0.07,0.02,0.01,0.02,0.01,-0.11,-0.07,0.03,0.02,-0.04,0.05,0.07,-0.03,0.04,0,-0.04
PLIPA1A140pp,-0.14,-0.05,0.03,0.04,-0.01,-0.11,-0.07,-0.13,-0.11,0.04,-0.17,-0.07,0.03,-0.06,-0.08,-0.02,-0.01,0.03,-0.05,0.05,-0.01,-0.15,0.05,-0.12,0.03,-0.07,-0.03,-0.14,0,-0.07,-0.09,0.01,0,-0.1,-0.01,0.07,0,-0.01,0.03,-0.05,-0.07,-0.01,0.06,0.03,-0.01,0.01,-0.05,-0.12,0,0.05
PLIPA1A160pp,0.03,0.02,-0.06,0.03,0,-0.05,0.03,0.01,0,0.06,0.03,-0.1,-0.01,-0.02,0.06,0.12,0.24,0.06,0.01,0.08,0.02,-0.12,0.04,-0.02,0.01,0.01,-0.04,-0.02,0.06,0.03,0.15,-0.01,0,-0.05,0.04,0.03,-0.03,0.12,0.05,0.23,-0.01,-0.1,0.03,0.03,0.06,-0.02,0.06,-0.02,0,-0.06
PLIPA1A180pp,-0.06,-0.03,-0.18,0.02,0.04,0.09,0.11,-0.01,-0.03,0.05,0.02,-0.07,0.05,0.1,0.14,0.06,-0.08,-0.07,0,0.01,-0.04,-0.1,-0.01,0.12,0.11,-0.05,-0.1,-0.07,-0.03,-0.02,0.01,0.01,0.12,0.09,-0.07,-0.01,-0.07,-0.11,0.07,0.04,-0.02,0.04,-0.04,0.03,-0.03,0.14,-0.07,-0.02,0,0.04
PLIPA1E160,-0.01,0.07,-0.02,0.07,0,0.09,-0.1,-0.03,-0.03,-0.07,-0.03,-0.1,-0.04,0.04,-0.03,0.07,0.08,-0.02,-0.04,-0.09,0.04,-0.03,-0.07,-0.02,-0.07,0.06,0.17,0.06,-0.21,0.03,0.03,-0.04,0.13,-0.07,0.04,-0.07,-0.03,0.06,0.01,-0.07,-0.01,-0.09,0.01,0.04,-0.05,0.16,-0.06,-0.02,0,0.01
PLIPA2A120pp,-0.14,-0.04,0.03,0.06,-0.05,-0.03,-0.06,-0.01,-0.08,-0.07,-0.04,-0.01,0.04,0.02,0.18,-0.05,-0.07,0.1,0.07,-0.07,0.06,0.09,0.11,0.05,0.09,0.2,0.12,-0.07,0.01,0.03,0.04,-0.1,0,-0.02,-0.07,-0.02,-0.01,-0.02,-0.01,0.11,0.07,-0.03,-0.02,0.04,-0.05,-0.07,0.03,-0.04,0,0.04
PLIPA2A140pp,-0.14,-0.05,0.03,0.04,-0.01,-0.11,-0.07,-0.13,-0.11,0.04,-0.17,-0.07,0.03,-0.06,-0.08,-0.02,-0.01,0.03,-0.05,0.05,-0.01,-0.15,0.05,-0.12,0.03,-0.07,-0.03,-0.14,0,-0.07,-0.09,0.01,0,-0.1,-0.01,0.07,0,-0.01,0.03,-0.05,-0.07,-0.01,0.06,0.03,-0.01,0.01,-0.05,-0.12,0,0.05
PLIPA2A160pp,-0.03,-0.02,0.06,-0.03,0,0.05,-0.03,-0.01,0,-0.06,-0.03,0.1,0.01,0.02,-0.06,-0.12,-0.24,-0.06,-0.01,-0.08,-0.02,0.12,-0.04,0.02,-0.01,-0.01,0.04,0.02,-0.06,-0.03,-0.15,0.01,0,0.05,-0.04,-0.03,0.03,-0.12,-0.05,-0.23,0.01,0.1,-0.03,-0.03,-0.06,0.02,-0.06,0.02,0,0.06
PLIPA2A180pp,0.06,0.03,0.18,-0.02,-0.04,-0.09,-0.11,0.01,0.03,-0.05,-0.02,0.07,-0.05,-0.1,-0.14,-0.06,0.08,0.07,0,-0.01,0.04,0.1,0.01,-0.12,-0.11,0.05,0.1,0.07,0.03,0.02,-0.01,-0.01,-0.12,-0.09,0.07,0.01,0.07,0.11,-0.07,-0.04,0.02,-0.04,0.04,-0.03,0.03,-0.14,0.07,0.02,0,-0.04
PROD2,-0.07,0.05,-0.08,-0.05,-0.07,0,-0.04,0.07,-0.01,-0.04,-0.14,-0.1,0.06,0.14,0.1,0.01,0.15,0.09,0.05,-0.12,0.03,0.16,0.05,-0.01,-0.11,-0.1,-0.25,0.07,-0.01,0.1,-0.11,-0.08,-0.02,0.06,0,0.1,-0.01,0.05,0,-0.09,-0.01,0,0.13,0.02,-0.09,-0.05,-0.07,0.01,-0.01,-0.08
PYK,-0.04,0.08,0.04,-0.06,0.14,0.07,-0.01,0.02,0.07,-0.08,-0.02,0.03,-0.05,-0.11,-0.03,0.12,-0.06,0.01,-0.1,0.04,0.04,0.04,0.09,0.04,0.05,0.02,-0.13,0.04,-0.03,0.03,0.08,-0.08,0.08,-0.13,-0.04,0.05,-0.01,-0.06,-0.01,-0.02,0.03,0.01,0.03,-0.04,-0.01,-0.02,0.05,-0.1,0.01,-0.02
R01465m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SADT,0,-0.05,-0.03,0.04,-0.13,-0.02,0.04,0.08,0.01,-0.01,0.09,0.11,-0.01,-0.05,-0.05,-0.04,-0.03,0.07,-0.01,0.03,0.21,-0.11,0.02,-0.12,0.04,-0.07,0.04,0.09,-0.07,0.07,0.05,0,-0.04,0.09,-0.21,0.12,-0.01,-0.03,-0.08,0.03,-0.07,-0.07,0.05,0.06,-0.06,0.04,-0.15,0.06,0,0.03
SADT2,0,0.05,0.03,-0.04,0.13,0.02,-0.04,-0.08,-0.01,0.01,-0.09,-0.11,0.01,0.05,0.05,0.04,0.03,-0.07,0.01,-0.03,-0.21,0.11,-0.02,0.12,-0.04,0.07,-0.04,-0.09,0.07,-0.07,-0.05,0,0.04,-0.09,0.21,-0.12,0.01,0.03,0.08,-0.03,0.07,0.07,-0.05,-0.06,0.06,-0.04,0.15,-0.06,0,-0.03
SPTc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THD2,0.03,0.01,0.03,0.05,-0.03,-0.06,-0.05,-0.03,0,-0.03,0.06,-0.06,0.06,0.04,0.05,-0.04,-0.03,-0.14,-0.1,-0.07,0.04,0.02,-0.05,-0.01,0.04,0.05,-0.12,-0.05,-0.13,-0.02,-0.08,0.07,-0.13,-0.14,0.1,0.09,-0.11,0.03,0.03,0.11,0.11,0.02,-0.04,-0.09,0,0.01,-0.01,0.13,0.02,0
VPAMTr,-0.08,-0.02,0.01,-0.03,0.13,-0.01,0.05,0,0.04,-0.01,0.04,0.05,-0.16,0.05,-0.07,-0.03,-0.01,-0.09,-0.07,-0.05,-0.03,-0.13,0.02,-0.04,0,0.11,0.1,-0.03,-0.1,-0.13,0.06,0.07,-0.08,0.1,-0.09,0.01,0.05,0,0.08,0.05,0.03,0.04,-0.03,0.07,0.07,-0.05,0.1,-0.03,0.01,0
XTSNH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0