Reaction,equation,System,Void,rpfCGH,Diff
2HBO,2obut_c + h_c + nadh_c <=> 2hb_c + nad_c,,0,0,1
34DHOXPEGOX,34dhmald_c + h_c + nadh_c <=> 34dhoxpeg_c + nad_c,,0,0,1
3OAR100,3odecACP_c + h_c + nadph_c <=> 3hdecACP_c + nadp_c,,1,1,1
3OAR120,3oddecACP_c + h_c + nadph_c <=> 3hddecACP_c + nadp_c,,1,1,1
3OAR40_1,actACP_c + h_c + nadph_c <=> 3hbutACP_c + nadp_c,,1,1,1
3OAR60,3ohexACP_c + h_c + nadph_c <=> 3hhexACP_c + nadp_c,,1,1,1
3OAR80,3hoctACP_c + nadp_c <=> 3ooctACP_c + h_c + nadph_c,,1,1,1
4ABUTD,4abut_c + 2.0 h_c + nadph_c <-- 4abutn_c + h2o_c + nadp_c,,-1,-1,1
AACOAR_syn,3hbcoa__R_c + nadp_c <=> aacoa_c + h_c + nadph_c,,0,0,1
ABUTD,4abut_c + 2.0 h_c + nadh_c <-- 4abutn_c + h2o_c + nad_c,,0,0,1
ACOAD1,b2coa_c + h_c + nadh_c --> btcoa_c + nad_c,,0,0,1
ACOAD2,h_c + hx2coa_c + nadh_c --> hxcoa_c + nad_c,,-1,-1,1
ACOAD3,h_c + nadh_c + oc2coa_c --> nad_c + occoa_c,,-1,-1,1
ACOAD4,dc2coa_c + h_c + nadh_c --> dcacoa_c + nad_c,,-1,-1,1
ACOAD5,dd2coa_c + h_c + nadh_c --> ddcacoa_c + nad_c,,-1,-1,1
ACOAD6,h_c + nadh_c + td2coa_c --> nad_c + tdcoa_c,,-1,-1,1
ACOAD7,h_c + hdd2coa_c + nadh_c --> nad_c + pmtcoa_c,,-1,-1,1
AGGPR,acg5sa_c + nadp_c + pi_c <-- acg5p_c + h_c + nadph_c,,0,0,1
AKGDH,co2_c + nadh_c + succoa_c <-- akg_c + coa_c + nad_c,,1,1,1
ALCD19,glyald_c + h_c + nadh_c <=> glyc_c + nad_c,,0,0,1
ALCD2ir,acald_c + h_c + nadh_c <=> etoh_c + nad_c,,0,0,1
ALDD22x,ala_B_c + 2.0 h_c + nadh_c <=> aproa_c + h2o_c + nad_c,,-1,-1,1
ALDD2x,ac_c + 2.0 h_c + nadh_c <-- acald_c + h2o_c + nad_c,,-1,-1,1
ALDD31,gly_c + 2.0 h_c + nadh_c <-- aacald_c + h2o_c + nad_c,,-1,-1,1
ANNAT,nad_c + ppi_c <=> atp_c + h_c + nmn_c,,0,1,0
APRAUR,5aprbu_c + nadp_c <=> 5apru_c + h_c + nadph_c,,-1,-1,1
ASAD,4pasp_c + h_c + nadph_c --> aspsa_c + nadp_c + pi_c,,0,0,1
BDH,acac_c + h_c + nadh_c <=> bhb_c + nad_c,,0,0,1
BETALDHx,glyb_c + 2.0 h_c + nadh_c <-- betald_c + h2o_c + nad_c,,-1,-1,1
BETALDHy,glyb_c + 2.0 h_c + nadph_c <-- betald_c + h2o_c + nadp_c,,-1,-1,1
Biomass,0.003096466851925 10fthf_c + 0.003096466851925 2dmmq8_c + 0.003096466851925 5mthf_c + 0.003096466851925 ACP_c + 0.010648042134188 MNXM5124_c + 0.010648042134188 MNXM5129_c + 0.003096466851925 MNXM57_c + 0.010648042134188 MNXM6175_c + 0.010648042134188 MNXM6297_c + 0.010648042134188 MNXM6440_c + 0.010648042134188 MNXM7294_c + 0.010648042134188 MNXM7305_c + 0.025010597710894 MNXM7630_c + 0.003096466851925 adocbl_c + 0.427934380173264 ala__L_c + 0.003096466851925 amet_c + 0.246696822701341 arg__L_c + 0.200830806928348 asn__L_c + 0.200830806928348 asp__L_c + 40.1101757365074 atp_c + 0.003096466851925 ca2_c + 0.003096466851925 cl_c + 0.003096466851925 coa_c + 0.003096466851925 cobalt2_c + 0.025010597710894 colipa_c + 0.084103615654486 ctp_c + 0.003096466851925 cu2_c + 0.076146492205648 cys__L_c + 0.016020671834625 datp_c + 0.016020671834625 dctp_c + 0.016020671834625 dgtp_c + dna_c + 0.025010597710894 dtpcudcpp_c + 0.016020671834625 dttp_c + 0.003096466851925 fad_c + 0.003096466851925 fe2_c + 0.003096466851925 fe3_c + 0.219088153012743 gln__L_c + 0.219088153012743 glu__L_c + 0.509869786991038 gly_c + 0.135406821203723 gtp_c + 35.5403092430435 h2o_c + 0.079263600073716 his__L_c + 0.241798510337235 ile__L_c + 0.003096466851925 k_c + 0.375388847540127 leu__L_c + 0.285438020490179 lys__L_c + 0.127801422590767 met__L_c + 0.003096466851925 mg2_c + 0.003096466851925 mn2_c + 0.003096466851925 mqn8_c + 0.003096466851925 nad_c + 0.003096466851925 nadp_c + 0.010648042134188 pe180_c + 0.010648042134188 pg180_c + 0.154519490031345 phe__L_c + 0.003096466851925 pheme_c + 0.184354665339991 pro__L_c + protein_c + 0.003096466851925 ptrc_c + 0.003096466851925 pydx5p_c + 0.003096466851925 q8_c + 0.003096466851925 ribflv_c + rna_c + 0.179456352975885 ser__L_c + 0.003096466851925 sheme_c + 0.003096466851925 so4_c + 0.003096466851925 spmd_c + 0.003096466851925 thf_c + 0.003096466851925 thmpp_c + 0.211072732780569 thr__L_c + 0.047201919145022 trp__L_c + 0.120676604606612 tyr__L_c + 0.090831904906845 utp_c + 0.352233189091625 val__L_c + 0.003096466851925 zn2_c --> BIOMASS_c + 0.025010597710894 MNXM5258_c + 40.0 adp_c + 0.003096466851925 apoACP_c + 0.003096466851925 cbi_c + 0.003096466851925 dmbzid_c + 40.0562052099336 h_c + 39.9969035331481 pi_c + 0.484600765610933 ppi_c,,-1,-1,1
CHOLD,betald_c + h_c + nadh_c <=> chol_c + nad_c,,0,0,1
COALDDH,fer_c + 2.0 h_c + nadh_c <=> conialdh_c + h2o_c + nad_c,,0,0,1
DGC3D,3ddgc_c + h_c + nadh_c <=> 2dglcn_c + nad_c,,0,0,1
DHCIND,dhcinnm_c + h_c + nadh_c <=> cenchddd_c + nad_c,,-1,-1,1
DHFR,dhf_c + h_c + nadph_c <=> nadp_c + thf_c,,0,0,1
DHPPD,dhpppn_c + h_c + nadh_c <=> cechddd_c + nad_c,,-1,-1,1
DMORh,alac__S_c + h_c + nadph_c <=> 23dhmb_c + nadp_c,,0,0,1
DMPPS,h2mb4p_c + h_c + nadh_c --> dmpp_c + h2o_c + nad_c,,1,1,1
DMPPS_syn,dmpp_c + h2o_c + nadp_c <-- h2mb4p_c + h_c + nadph_c,,1,1,1
DNGALh,amp_c + glu__L_c + h_c + nad_c + ppi_c <-- atp_c + dnad_c + gln__L_c + h2o_c,,0,0,1
DPR,2dhp_c + h_c + nadph_c <=> nadp_c + pant__R_c,,0,0,1
DXPRIi,2me4p_c + nadp_c <=> dxyl5p_c + h_c + nadph_c,,0,0,1
E4PD,4per_c + 2.0 h_c + nadh_c <-- e4p_c + h2o_c + nad_c,,1,-1,0
EAR100y,h_c + nadph_c + tdec2eACP_c --> dcaACP_c + nadp_c,,-1,-1,1
EAR120y,2.0 h_c + nadph_c + tddec2eACP_c --> ddcaACP_c + nadp_c,,-1,-1,1
EAR140y,2.0 h_c + nadph_c + tmrs2eACP_c --> myrsACP_c + nadp_c,,-1,-1,1
EAR40y,but2eACP_c + 2.0 h_c + nadph_c --> butACP_c + nadp_c,,-1,-1,1
EAR60y,h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c,,-1,-1,1
EAR80y,h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c,,-1,-1,1
FAS140ACPm,ACP_c + co2_c + h2o_c + myrsACP_c + 2.0 nadp_c --> ddcaACP_c + 2.0 h_c + malACP_c + 2.0 nadph_c,,-1,-1,1
FDH,co2_c + nadh_c <-- for_c + nad_c,,0,-1,0
FLVRx,2.0 h_c + nadh_c + ribflv_c <=> nad_c + rbflvrd_c,,0,0,1
FMNRx,fmn_c + 2.0 h_c + nadh_c --> fmnh2_c + nad_c,,-1,1,0
FOLR2,fol_c + h_c + nadph_c <=> dhf_c + nadp_c,,0,0,1
G3PD1,dhap_c + h_c + nadh_c <=> glyc3p_c + nad_c,,1,1,1
G5DHx,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c,,-1,0,0
G6PBDH,6pgl_c + h_c + nadph_c <-- g6p_B_c + nadp_c,,0,0,1
G6PDH2r,g6p_c + nadp_c <=> 6pgl_c + h_c + nadph_c,,0,0,1
GAPD,13dpg_c + h_c + nadh_c <=> g3p_c + nad_c + pi_c,,1,-1,0
GAPDH_nadp_hi,13dpg_c + h_c + nadph_c --> g3p_c + nadp_c + pi_c,,0,-1,0
GCC2cm,h_c + lpam_c + nadh_c <=> dhlam_c + nad_c,,1,1,1
GCCc,h_c + lpro_c + nadh_c <=> dhlpro_c + nad_c,,0,-1,0
GDH,akg_c + h_c + nadh_c + nh4_c <=> glu__L_c + h2o_c + nad_c,,0,0,1
GGGABADr,ggbutal_c + h2o_c + nadp_c --> gg4abut_c + 2.0 h_c + nadph_c,,0,0,1
GLUS_nadph,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,,0,0,1
GLUTRR,glu1sa_c + nadp_c + trnaglu_c <=> glutrna_c + h_c + nadph_c,,0,0,1
GLXO1,2.0 h_c + nadh_c + oxa_c <=> glx_c + h2o_c + nad_c,,-1,-1,1
GLYALDDr,glyc__R_c + 2.0 h_c + nadh_c <-- glyald_c + h2o_c + nad_c,,-1,-1,1
GLYCDH_1,h_c + hpyr_c + nadh_c --> glyc__R_c + nad_c,,0,0,1
GLYCL,co2_c + mlthf_c + nadh_c + nh4_c <=> gly_c + nad_c + thf_c,,-1,-1,1
GLYCLTDx,glx_c + h_c + nadh_c <-- glyclt_c + nad_c,,0,0,1
GLYCLTDy,glx_c + h_c + nadph_c <-- glyclt_c + nadp_c,,0,0,1
GLYCOR_nadp,glyc__R_c + nadp_c <-- h_c + hpyr_c + nadph_c,,0,0,1
GND,co2_c + nadph_c + ru5p__D_c <-- 6pgc_c + nadp_c,,1,-1,0
HACD1,aacoa_c + h_c + nadh_c <=> 3hbcoa_c + nad_c,,0,0,1
HACD2,3ohcoa_c + h_c + nadh_c <=> 3hhcoa_c + nad_c,,0,0,1
HACD3,3oocoa_c + h_c + nadh_c <=> 3hocoa_c + nad_c,,0,0,1
HACD4,3odcoa_c + h_c + nadh_c <=> 3hdcoa_c + nad_c,,0,0,1
HACD5,3oddcoa_c + h_c + nadh_c <=> 3hddcoa_c + nad_c,,0,0,1
HACD6,3otdcoa_c + h_c + nadh_c <=> 3htdcoa_c + nad_c,,0,0,1
HACD7,3ohdcoa_c + h_c + nadh_c <=> 3hhdcoa_c + nad_c,,0,0,1
HACD9,2maacoa_c + h_c + nadh_c <=> 3hmbcoa_c + nad_c,,0,0,1
HACDp,3oacoa_c + h_c + nadh_c <=> 3hacoa_c + nad_c,,0,0,1
HADPCOADH3,h_c + nadh_c + oxadpcoa_c <=> 3hadpcoa_c + nad_c,,0,0,1
HDH,3.0 h_c + his__L_c + 2.0 nadh_c <=> h2o_c + histd_c + 2.0 nad_c,,-1,-1,1
HIBDkt,h_c + mmsa_c + nadh_c <=> 3hmp_c + nad_c,,0,0,1
HSDH,aspsa_c + h_c + nadph_c --> hom__L_c + nadp_c,,-1,-1,1
HSDx,aspsa_c + h_c + nadh_c --> hom__L_c + nad_c,,-1,-1,1
HXAND,h_c + nadh_c + xan_c <=> h2o_c + hxan_c + nad_c,,0,-1,0
ICDHx,akg_c + co2_c + nadh_c <-- icit_c + nad_c,,1,-1,0
IDS1,h2mb4p_c + h_c + nadph_c --> h2o_c + ipdp_c + nadp_c,,1,1,1
IMACTD,2.0 h_c + im4ac_c + nadh_c <-- h2o_c + im4act_c + nad_c,,-1,-1,1
IMPD,h_c + nadh_c + xmp_c <=> h2o_c + imp_c + nad_c,,1,1,1
IPDPS,h2mb4p_c + h_c + nadh_c --> h2o_c + ipdp_c + nad_c,,1,1,1
IPMD,3c4mop_c + h_c + nadh_c <=> 3c2hmp_c + nad_c,,0,0,1
KARI_23dhmb,23dhmb_c + nadp_c <=> 3hmoa_c + h_c + nadph_c,,0,0,1
KARI_23dhmp,3hmop_c + h_c + nadph_c <=> 23dhmp_c + nadp_c,,0,0,1
KYN3OX,Lkynr_c + h_c + nadph_c + o2_c --> h2o_c + hLkynr_c + nadp_c,,-1,-1,1
LCADi,2.0 h_c + lac__L_c + nadh_c <=> h2o_c + lald__L_c + nad_c,,0,0,1
LDH_L,h_c + nadh_c + pyr_c <=> lac__L_c + nad_c,,0,0,1
MANAO,mana_c + nad_c <=> fruur_c + h_c + nadh_c,,-1,-1,1
MCLOR,h_c + mercppyr_c + nadh_c <=> mercplac_c + nad_c,,0,0,1
MDH,h_c + nadh_c + oaa_c <-- mal__L_c + nad_c,,1,1,1
MDHC_nadp_hr,co2_c + nadph_c + pyr_c <-- mal__L_c + nadp_c,,0,0,1
MECDPDH2,2mecdp_c + nadh_c --> h2mb4p_c + h2o_c + nad_c,,-1,-1,1
MMSAD3,accoa_c + co2_c + nadh_c <=> coa_c + msa_c + nad_c,,0,-1,0
MMSDH,co2_c + nadh_c + ppcoa_c <=> coa_c + mmsa_c + nad_c,,0,-1,0
MNXR12173,MNXM4972_c + h_c + nadh_c <=> MNXM4910_c + nad_c,,0,0,1
MNXR14719,2obut_c + co2_c + nadh_c <=> nad_c + r3mmal_c,,0,0,1
MNXR15436,MNXM764_c + h_c + nadh_c <=> MNXM1698_c + nad_c,,0,0,1
MNXR15642,MNXM2480_c + 2.0 h_c + nadh_c <=> MNXM2566_c + nad_c,,-1,1,0
MNXR15797,h_c + nadh_c + xol7ah2al_c <=> nad_c + xol7ah3_c,,0,0,1
MNXR15867,2ohph_c + h2o_c + nadp_c <-- 2oph_c + h_c + nadph_c + o2_c,,0,0,1
MNXR15972,MNXM5312_c + h_c + nadh_c <=> MNXM6087_c + nad_c,,0,0,1
MNXR15973,MNXM6216_c + h_c + nadh_c <=> MNXM5676_c + nad_c,,0,0,1
MNXR16018,MNXM1854_c + h_c + nadh_c <=> MNXM590_c + fald_c + nad_c,,0,0,1
MNXR16204,MNXM5635_c + h_c + nadh_c <=> hmpscoa_c + nad_c,,0,0,1
