Reaction,equation,System,Void,rpfCGH,Diff
MNXR16236,MNXM1129_c + 2.0 h_c + nadh_c + o2_c --> MNXM842_c + co2_c + h2o_c + nad_c,,-1,-1,1
MNXR16239,MNXM1129_c + 2.0 h_c + nadh_c <=> MNXM6614_c + h2o_c + nad_c,,0,0,1
MNXR16307,MNXM1213_c + co2_c + nadh_c <=> nad_c + phthr_c,,-1,-1,1
MNXR16994,MNXM6043_c + h_c + nadh_c <=> MNXM6494_c + nad_c,,0,0,1
MNXR16995,MNXM6044_c + 2.0 h_c + nadh_c <=> MNXM6043_c + h2o_c + nad_c,,0,0,1
MNXR17004,MNXM4298_c + 2.0 h_c + nadh_c <=> MNXM4972_c + h2o_c + nad_c,,0,0,1
MNXR17153,MNXM5666_c + h_c + nadh_c <=> MNXM3152_c + h2o_c + nad_c,,0,0,1
MNXR17296,MNXM1120_c + 2.0 h_c + nadh_c <=> MNXM2283_c + h2o_c + nad_c,,0,0,1
MNXR17297,MNXM1120_c + 2.0 h_c + nadph_c <=> MNXM2283_c + h2o_c + nadp_c,,0,0,1
MNXR17649,MNXM5874_c + h_c + nadh_c <=> MNXM5873_c + nad_c,,0,0,1
MNXR17653,MNXM5870_c + h_c + nadh_c <=> MNXM5869_c + nad_c,,0,0,1
MNXR17657,MNXM5866_c + h_c + nadh_c <=> MNXM5865_c + nad_c,,0,0,1
MNXR17827,MNXM4528_c + 2.0 h_c + nadh_c <=> MNXM5387_c + h2o_c + nad_c,,0,0,1
MNXR17833,MNXM5558_c + h_c + nadh_c <=> MNXM5522_c + nad_c,,0,0,1
MNXR17835,MNXM4528_c + 2.0 h_c + nadh_c <=> MNXM6560_c + h2o_c + nad_c,,0,0,1
MNXR17974,MNXM10616_c + nad_c <=> MNXM2968_c + h_c + nadh_c,,0,0,1
MNXR17999,MNXM3835_c + h_c + nadh_c <=> MNXM6074_c + nad_c,,0,0,1
MNXR18003,MNXM6125_c + h_c + nadh_c <=> MNXM6882_c + nad_c,,0,0,1
MNXR18214,betald_c + h_c + nadph_c <=> chol_c + nadp_c,,0,0,1
MNXR2062,MNXM1051_c + nad_c <=> Sfglutth_c + h_c + nadh_c,,0,0,1
MNXR22677,MNXM2404_c + h_c + nadph_c --> MNXM2405_c + nadp_c + pi_c,,0,0,1
MNXR2293,fdxr_2_2_c + h_c + nadp_c <=> MNXM178_c + nadph_c,,0,0,1
MNXR27634,MNXM10217_c + nadp_c <=> MNXM10219_c + h_c + nadph_c,,1,1,1
MNXR27636,MNXM8149_c + h_c + nadph_c --> MNXM8147_c + nadp_c,,-1,-1,1
MNXR27638,MNXM10368_c + nadp_c <=> MNXM10370_c + h_c + nadph_c,,1,1,1
MNXR27640,MNXM8197_c + h_c + nadph_c --> MNXM8195_c + nadp_c,,-1,-1,1
MNXR27642,MNXM10446_c + nadp_c <=> MNXM10448_c + h_c + nadph_c,,1,1,1
MNXR27644,MNXM8220_c + h_c + nadph_c --> MNXM8218_c + nadp_c,,-1,-1,1
MNXR27646,MNXM9655_c + h_c + nadph_c <=> MNXM9653_c + nadp_c,,1,1,1
MNXR27648,MNXM8004_c + h_c + nadph_c --> MNXM8003_c + nadp_c,,-1,-1,1
MNXR27650,MNXM9684_c + h_c + nadph_c <=> MNXM9682_c + nadp_c,,1,1,1
MNXR27652,MNXM8015_c + h_c + nadph_c --> MNXM6636_c + nadp_c,,-1,-1,1
MNXR27654,MNXM9700_c + h_c + nadph_c <=> MNXM9698_c + nadp_c,,1,1,1
MNXR27656,MNXM8024_c + h_c + nadph_c --> MNXM8022_c + nadp_c,,-1,-1,1
MNXR27659,MNXM10326_c + nadp_c <=> MNXM10327_c + h_c + nadph_c,,1,1,1
MNXR27661,MNXM8176_c + h_c + nadph_c --> MNXM8175_c + nadp_c,,-1,-1,1
MNXR27663,MNXM10422_c + nadp_c <=> MNXM10423_c + h_c + nadph_c,,1,1,1
MNXR27665,MNXM8210_c + h_c + nadph_c --> MNXM8209_c + nadp_c,,-1,-1,1
MNXR27667,MNXM10474_c + nadp_c <=> MNXM10475_c + h_c + nadph_c,,1,1,1
MNXR27669,MNXM8226_c + h_c + nadph_c --> MNXM8225_c + nadp_c,,-1,-1,1
MNXR27671,MNXM9671_c + h_c + nadph_c <=> MNXM9670_c + nadp_c,,1,1,1
MNXR27673,MNXM8011_c + h_c + nadph_c --> MNXM8010_c + nadp_c,,-1,-1,1
MNXR27675,MNXM9695_c + h_c + nadph_c <=> MNXM9694_c + nadp_c,,1,1,1
MNXR27677,MNXM8019_c + h_c + nadph_c --> MNXM6644_c + nadp_c,,-1,-1,1
MNXR27679,MNXM9707_c + h_c + nadph_c <=> MNXM9706_c + nadp_c,,1,1,1
MNXR27681,MNXM8027_c + h_c + nadph_c --> MNXM8026_c + nadp_c,,-1,-1,1
MNXR27684,MNXM10218_c + nadp_c <=> MNXM10220_c + h_c + nadph_c,,1,1,1
MNXR27686,MNXM8150_c + h_c + nadph_c --> MNXM8148_c + nadp_c,,-1,-1,1
MNXR27688,MNXM10367_c + nadp_c <=> MNXM10369_c + h_c + nadph_c,,1,1,1
MNXR27690,MNXM8196_c + h_c + nadph_c --> MNXM8194_c + nadp_c,,-1,-1,1
MNXR27692,MNXM10447_c + nadp_c <=> MNXM10449_c + h_c + nadph_c,,1,1,1
MNXR27694,MNXM8221_c + h_c + nadph_c --> MNXM8219_c + nadp_c,,-1,-1,1
MNXR27696,MNXM9656_c + h_c + nadph_c <=> MNXM9654_c + nadp_c,,1,1,1
MNXR27698,MNXM8005_c + h_c + nadph_c --> MNXM8006_c + nadp_c,,-1,-1,1
MNXR27700,MNXM9685_c + h_c + nadph_c <=> MNXM9683_c + nadp_c,,1,1,1
MNXR27702,MNXM8016_c + h_c + nadph_c --> MNXM6637_c + nadp_c,,-1,-1,1
MNXR27704,MNXM9701_c + h_c + nadph_c <=> MNXM9699_c + nadp_c,,1,1,1
MNXR27706,MNXM8025_c + h_c + nadph_c --> MNXM8023_c + nadp_c,,-1,-1,1
MNXR27735,MNXM10035_c + nadp_c <=> MNXM10116_c + h_c + nadph_c,,1,1,1
MNXR27737,MNXM9168_c + h_c + nadph_c --> MNXM7607_c + nadp_c,,-1,-1,1
MNXR2826,gthox_c + h_c + nadph_c <=> 2.0 MNXM57_c + nadp_c,,0,-1,0
MNXR35657,MNXM1289_c + h_c + nadph_c <=> icit_c + nadp_c,,1,1,1
MNXR4402,2h34hppr_c + co2_c + nadh_c <-- nad_c + pphn_c,,-1,-1,1
MNXR4403,2h34hppr_c + co2_c + nadph_c <-- nadp_c + pphn_c,,-1,-1,1
MNXR5449,MNXM3173_c + h_c + nadh_c <=> nad_c + thcholoylcoa_c,,0,0,1
MNXR5727,akg_c + 2.0 h_c + nadph_c <-- MNXM770_c + h2o_c + nadp_c,,-1,-1,1
MNXR5765,MNXM277_c + h_c + nadh_c <=> MNXM832_c + nad_c,,0,0,1
MNXR58251,MNXM4010_c + h_c + nadh_c <=> histd_c + nad_c,,-1,-1,1
MNXR59227,2.0 h_c + his__L_c + nadh_c <-- MNXM4010_c + h2o_c + nad_c,,-1,-1,1
MNXR60025,MNXM5555_c + h2o_c + nadp_c <-- 2ommb_c + nadph_c + o2_c,,0,0,1
MNXR60319,MNXM6828_c + 2.0 h_c + nadh_c <=> MNXM6827_c + h2o_c + nad_c,,0,0,1
MNXR60320,3mcat_c + co2_c + h2o_c + nad_c <-- MNXM6828_c + 2.0 h_c + nadh_c + o2_c,,-1,-1,1
MNXR60327,MNXM6112_c + 2.0 h_c + nadh_c + o2_c --> 4mcat_c + co2_c + h2o_c + nad_c,,-1,-1,1
MNXR60651,MNXM5766_c + 2.0 h_c + nadh_c <=> MNXM1558_c + h2o_c + nad_c,,0,0,1
MNXR6834,MNXM1709_c + h_c + nadh_c <=> 2ddglcn_c + nad_c,,0,0,1
MNXR6908,3oacoa_c + h_c + nadph_c <=> MNXM2446_c + nadp_c,,0,0,1
MNXR6969,2.0 h_c + nadh_c + salc_c <=> MNXM1593_c + h2o_c + nad_c,,0,0,1
MNXR6970,fer_c + 2.0 h_c + nadph_c <=> conialdh_c + h2o_c + nadp_c,,0,0,1
MNXR71149,MNXM16872_c + ncam_c <=> MNXM4769_c + h_c + nad_c,,0,0,1
MNXR71411,MNXM1025_c + nadph_c + o2_c --> MNXM2391_c + h2o_c + nadp_c,,-1,-1,1
MNXR7212,2.0 h_c + nadh_c + o2_c + salc_c --> catechol_c + co2_c + h2o_c + nad_c,,-1,-1,1
MNXR7297,h_c + lys__L_c + nadph_c + pyr_c <=> MNXM3966_c + h2o_c + nadp_c,,-1,0,0
MNXR74373,h_c + nadph_c + tpalm2eACP_c --> MNXM25932_c + nadp_c,,-1,-1,1
MNXR7442,h_c + nadph_c + protds_c <=> nadp_c + protdt_c,,-1,-1,1
MNXR7459,2.0 fe3_c + nadh_c <=> 2.0 fe2_c + h_c + nad_c,,1,-1,0
MNXR74716,MNXM6214_c + 2.0 h_c + nadh_c <=> MNXM3397_c + h2o_c + nad_c,,0,0,1
MNXR74717,MNXM6454_c + 2.0 h_c + nadh_c <=> MNXM13081_c + h2o_c + nad_c,,0,0,1
MNXR74931,MNXM6888_c + 2.0 h_c + nadh_c <=> MNXM6887_c + h2o_c + nad_c,,0,0,1
MNXR74932,MNXM10202_c + co2_c + h2o_c + nad_c <-- MNXM6888_c + 2.0 h_c + nadh_c + o2_c,,-1,-1,1
MNXR7594,MNXM2480_c + 2.0 h_c + nadph_c <=> MNXM2566_c + nadp_c,,-1,1,0
MNXR79883,MNXM715_c + co2_c + h_c + nadh_c + ppi_c --> dhna_c + hepdp_c + nad_c,,-1,-1,1
MNXR8404,ala_B_c + h_c + nadh_c + pyr_c <=> MNXM3765_c + h2o_c + nad_c,,0,0,1
MNXR84520,cholcoaone_c + h_c + nadh_c <=> MNXM827_c + nad_c,,0,0,1
MNXR84631,MNXM5008_c + 2.0 h_c + nadh_c <=> MNXM4381_c + h2o_c + nad_c,,0,0,1
MNXR85287,MNXM5008_c + 2.0 h_c + nadph_c <=> MNXM4381_c + h2o_c + nadp_c,,0,0,1
MNXR85368,MNXM1979_c + h_c + nadh_c <=> nad_c + phthr_c,,-1,-1,1
MNXR85589,gg4abut_c + 2.0 h_c + nadh_c <-- ggbutal_c + h2o_c + nad_c,,0,0,1
MNXR8605,MNXM1051_c + nadp_c <=> Sfglutth_c + h_c + nadph_c,,0,0,1
MNXR8926,MNXM839_c + h_c + nadh_c <=> MNXM1502_c + nad_c,,0,0,1
MNXR8994,coa_c + msa_c + nadp_c <=> h_c + malcoa_c + nadph_c,,0,0,1
MNXR9029,MNXM1245_c + 2.0 h_c + nadh_c <=> MNXM1883_c + h2o_c + nad_c,,0,0,1
MNXR93704,4mop_c + h_c + nadh_c + nh4_c <=> h2o_c + leu__L_c + nad_c,,0,0,1
MNXR93715,3mob_c + h_c + nadh_c + nh4_c <=> h2o_c + nad_c + val__L_c,,0,0,1
MNXR93748,MNXM114147_c + h_c + nadh_c + nh4_c <=> h2o_c + ile__L_c + nad_c,,0,0,1
MNXR93945,MNXM265_c + h_c + nadh_c + nh4_c <=> MNXM42008_c + h2o_c + nad_c,,0,0,1
MNXR93946,MNXM265_c + h_c + nadph_c + nh4_c <=> MNXM42008_c + h2o_c + nadp_c,,0,0,1
MNXR93966,MNXM265_c + h_c + nadh_c + nh4_c <=> MNXM381_c + h2o_c + nad_c,,0,0,1
MNXR94325,dtdp_c + h_c + nadp_c <=> dttp_c + nad_c,,0,0,1
MTHFD,mlthf_c + nadp_c <=> methf_c + nadph_c,,0,0,1
MTHFO,h_c + mlthf_c + nadh_c <=> 5mthf_c + nad_c,,0,0,1
MTHFO_nadp,h_c + mlthf_c + nadph_c <=> 5mthf_c + nadp_c,,0,0,1
NADH10,h_c + mqn8_c + nadh_c --> mql8_c + nad_c,,-1,-1,1
NADH5,h_c + nadh_c + q8_c --> nad_c + q8h2_c,,-1,-1,1
NADH6,3.5 h_e + nad_c + q8h2_c <-- h_c + nadh_c + q8_c,,1,-1,0
NADH9,2dmmq8_c + h_c + nadh_c --> 2dmmql8_c + nad_c,,-1,-1,1
NADK,adp_c + h_c + nadp_c <=> atp_c + nad_c,,0,0,1
NADS1,amp_c + h_c + nad_c + ppi_c <-- atp_c + dnad_c + nh4_c,,0,0,1
NADTRHD,nadh_c + nadp_c <=> nad_c + nadph_c,,0,-1,0
NTRIR2x,4.0 h_c + 3.0 nadh_c + no2_c --> 2.0 h2o_c + 3.0 nad_c + nh4_c,,-1,-1,1
NTRIR2y,4.0 h_c + 3.0 nadph_c + no2_c --> 2.0 h2o_c + 3.0 nadp_c + nh4_c,,-1,-1,1
P5CD,glu__L_c + h_c + nadh_c <=> 1pyr5c_c + 2.0 h2o_c + nad_c,,0,1,0
P5CR,nadp_c + pro__L_c <=> 1pyr5c_c + 2.0 h_c + nadph_c,,-1,0,0
P5CRx,1pyr5c_c + 2.0 h_c + nadh_c <=> nad_c + pro__L_c,,-1,0,0
PDH,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,,-1,-1,1
PGCD,3php_c + h_c + nadh_c <=> 3pg_c + nad_c,,0,0,1
PUTA3,glu__L_c + 2.0 h_c + nadh_c <-- glu5sa_c + h2o_c + nad_c,,0,1,0
R01465m,2aobut_c + h_c + nadh_c <=> nad_c + thr__L_c,,1,-1,0
RDH1,h_c + nadh_c + retinal_c <=> nad_c + retinol_c,,0,0,1
rxn05336_c0,3opalmACP_c + nadph_c <=> 3hpalmACP_c + nadp_c,,1,1,1
rxn05342_c0,3omrsACP_c + nadph_c <=> 3hmrsACP_c + nadp_c,,1,1,1
SBTPD,f6p_c + h_c + nadh_c <=> nad_c + sbt6p_c,,0,0,1
SHCHD2,2.0 h_c + nadh_c + scl_c <-- dscl_c + nad_c,,-1,-1,1
SHK3Dr,3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c,,0,0,1
SSALx,2.0 h_c + nadh_c + succ_c <-- h2o_c + nad_c + sucsal_c,,0,-1,0
SULR,4.0 h_c + hso3_c + 3.0 nadph_c <=> 3.0 h2o_c + h2s_c + 3.0 nadp_c,,-1,-1,1
TDPDRR,dtdp4d6dm_c + h_c + nadph_c <=> dtdprmn_c + nadp_c,,0,1,0
TDSRh,h_c + nadph_c + trdox_c <=> nadp_c + trdrd_c,,1,1,1
THD2,2.0 h_e + nadh_c + nadp_c <=> 2.0 h_c + nad_c + nadph_c,,-1,-1,1
UAPGR,h_c + nadph_c + uaccg_c <=> nadp_c + uamr_c,,0,0,1
UDPGD,3.0 h_c + 2.0 nadh_c + udpglcur_c <=> h2o_c + 2.0 nad_c + udpg_c,,1,1,1
XAND,h_c + nadh_c + urate_c <-- h2o_c + nad_c + xan_c,,0,-1,0